,content,Genre,Description Style
18,"<p>আফগানিস্তানের রাজধানী কাবুলের কেন্দ্রস্থলে ন্যাটো সদর দপ্তরের সামনে গতকাল শনিবার সকালে আত্মঘাতী গাড়িবোমা হামলায় কমপক্ষে সাত জন বেসামরিক আফগান নাগরিক নিহত হয়েছে। আহত হয়েছে আরও ৯১ জন। তালেবান এ হামলার দায়িত্ব স্বীকার করেছে।ওই এলাকায় প্রেসিডেন্ট প্রাসাদ এবং ভারত ও যুক্তরাষ্ট্রসহ বেশ কয়েকটি দেশের দূতাবাস অবস্থিত। ঘটনাস্থলের আকাশে কুণ্ডলী পাকিয়ে ধোঁয়া উড়তে দেখা গেছে।আফগানিস্তানের প্রেসিডেন্ট ও প্রাদেশিক পরিষদ নির্বাচনের কয়েক দিন আগে এ হামলা চালানো হলো। আগামী বৃহস্পতিবার নির্বাচন অনুষ্ঠিত হবে। এদিকে তালেবান নির্বাচন ভণ্ডুল করার হুমকি দিয়েছে।আফগান প্রতিরক্ষা মন্ত্রণালয়ের মুখপাত্র জেনারেল মোহাম্মদ জহির আজিমি ঘটনাস্থল থেকে বলেন, ইন্টারন্যাশনাল সিকিউরিটি অ্যাসিসট্যান্স ফোর্সের (আইএসএএফ) দপ্তরের প্রধান ফটকের ঠিক সামনে আত্মঘাতী গাড়িবোমা হামলাটি চালানো হয়।হামলার পরপরই পুলিশ ও অ্যাম্বুলেন্স দ্রুত ঘটনাস্থলে ছুটে যায়। আন্তর্জাতিক সেনারা গোটা এলাকা বন্ধ করে দেয়।এক প্রত্যক্ষদর্শী বলেন, হামলায় বেশ কয়েকটি গাড়ি ক্ষতিগ্রস্ত হয়েছে। এএফপি ও বিবিসি।</p>",['International Affairs'],Straight
19," রাজধানীতে গভীর রাতে অবৈধ ভাবে ভিআইপি প্রটোকল নিয়ে চলাচলাকারী ২৯টি গাড়ি মালিককে বিভিন্ন অংকের অর্থদণ্ড করেছে বিআরটিএ’র ভ্রাম্যমান আদালত। শনিবার রাতে রাজধানীর অভিজাত এলাকা গুলশান, বনানী ও বারিধারা এলাকায় এ অভিযান চালায় বিআরটিএ’র চারটি ভ্রাম্যমান আদালত।  অভিযানের কথা স্বীকার করে বাংলাদেশ রোড ট্রান্সপোর্ট অথরিটির (বিআরটিএ) পরিচালক (এনফোর্সমেন্ট) নাজমুল আহসান মজুমদার বলেন, প্রাধিকারবহির্ভূতভাবে ব্যক্তিগত যানবাহনে বিকন, সিগন্যাল লাইট ও হর্ন নিষিদ্ধ। শুধু মাত্র ট্রাফিক পুলিশ, ফায়ার সার্ভিস কর্মকর্তা ও ভিভিআইপি প্রটেশনের যানবাহনেই এটা ব্যবহার করতে পারে। কিন্তু তা সত্ত্বেও একটি প্রভাবশালী মহল এ আইনের তোয়াক্কা করেন না।  তিনি বলেন, নির্বাহী ম্যাজিস্ট্রেট জনাব মুহাম্মদ আব্দুস সালাম এর নেতৃত্বে একটি ভ্রাম্যমান আদালত গুলশান-১ এলাকায় অভিযান চালিয়ে নিষিদ্ধ হর্ন, এক্সটা লাইট এবং এক্সটা বাম্পার থাকার কারণে ১৭টি যানবাহনের মালিককে বিভিন্ন অংকের অর্থদণ্ড প্রদান করা হয়েছে।  গুলশান-২ এলাকায় নির্বাহী ম্যাজিস্ট্রেট মুনিবুর রহমানের নেতৃত্বে ভ্রাম্যমান আদালত অভিযান চালিয়ে ১০টি যানবাহনের মালিককে নিষিদ্ধ হর্ন থাকার কারণে বিভিন্ন অংকের অর্থদণ্ড আদায় পূর্বক হুকারগুলো জব্দ করা হয়েছে। এছাড়া গুলশান আজাদ মসজিদের সামনে নির্বাহী ম্যাজিস্ট্রেট মোসাম্মাৎ জোহরা খাতুনের নেতৃত্বে ভ্রাম্যমান আদালত নিষিদ্ধ হর্ন থাকার কারণে ২টি গাড়ির মালিককে অর্থদণ্ড প্রদান করে।  বিআরটিএ’র এ কর্মকর্তা আরো বলেন, এরা এতোটাই প্রভাশালী যে অভিযানের সময় তাকের হুকারে দায়িত্বরত পুলিশ সদস্যরা রিতিমত হিমশিম খাচ্ছিলেন। তিনি বলেন, ব্যক্তিগত যানবাহনে অননুমোদিত বিকন, সিগন্যাল লাইট ব্যবহারের বিরুদ্ধে বিআরটিএ’র ভ্রাম্যমান আদালত পরিচালনা অব্যাহত রয়েছে।  ইত্তেফাক/এমআই ","['Government actions', 'Politics']",Straight
20,"<p>নরসিংদীতে রযাবের সঙ্গে ‘বন্দুকযুদ্ধে’ ছয়জন নিহত হয়েছেন। আহত হয়েছেন রযাবের দুই সদস্যসহ পাঁচজন। নিহতরা সবাই ছিনতাইকারী বলে দাবি করেছে রযাব। আহতদের নরসিংদী সদর হাসপাতালে ভর্তি করা হয়েছে।আজ সোমবার বেলা পৌনে তিনটার দিকে নরসিংদী সদর উপজেলার নরসিংদী-মদনগঞ্জ সড়কের খাটেহারা নামক স্থানে এই বন্দুকযুদ্ধের ঘটনা ঘটে। এ সময় রযাব তিনটি পিস্তল, একটি কাটা বন্ধুক, তিনটি গুলি ও ৪০ হাজার টাকা উদ্ধার করে।আহত ব্যক্তিরা হলেন রায়পুরা উপজেলার পিরিচকান্দি গ্রামের অমর বিশ্বাস (৩৫), সদর উপজেলার বিলাসদী এলাকার শাওন মিয়া (২৫), শিবপুর উপজেলার কুমরাদি গ্রামের মাছুম মিয়া (২৮), রযাব-১১-এর নরসিংদী ক্যাম্পের শহীদুল ইসলাম (৪০) ও সাইফুল ইসলাম (৪০)।রযাব-১১-এর নরসিংদী ক্যাম্পের কোম্পানি কমান্ডার খন্দকার গোলাম সারোয়ার জানান, এক ব্যবসায়ী রযাবের কাছে অভিযোগ করে একদল ছিনতাইকারী তাঁর কাছ থেকে ৪০ হাজার টাকা ছিনতাই করে নরসিংদী-মদনগঞ্জ সড়ক দিয়ে একটি সাদা মাইক্রোবাস নিয়ে যাচ্ছে। এ সময় রযাব গাড়ি ছিনতাইকারীদের পিছু নেয়। খাটেহারা নামক স্থানে গিয়ে ছিনতাইকারীদের মাইক্রোবাসটিকে আটকানোর চেষ্টা করলে ছিনতাইকারীরা রযাবকে লক্ষ্য করে গুলি ছোড়ে। এতে রযাবও পাল্টা গুলি ছুড়লে উভয়ের মধ্যে গুলিবিনিময় হয়। একপর্যায়ে ছিনতাইকারীরা মাইক্রোবাস থেকে নেমে সড়কের নিচুস্থানে গিয়ে গুলি ছুড়তে থাকে। প্রায় আধা ঘণ্টা গুলিবিনিময়ে ছয় ছিনতাইকারী নিহত এবং রযাবের দুই সদস্যসহ পাঁচজন আহত হয়েছেন। নিহতদের লাশ ময়নাতদন্তের জন্য সদর হাসপাতাল পাঠানো হয়েছে।খবর পেয়ে নরসিংদীর পুলিশ সুপার মহিদ উদ্দিন ঘটনাস্থল পরিদর্শন করেন।</p>","['Crime', 'Discourse']",Straight
21," অমর একুশে বইমেলায় প্রকাশিত হয়েছে তানজিল রিমনের গল্পগ্রন্থ ‘মোটকু মামার অভিযানে বিল্টুর বন্ধুরা’। বইটি প্রকাশ করেছে সাহস পাবলিকেশন্স। প্রচ্ছদ ও অলংকরণ করেছেন লেখক নিজেই।  বইটিতে শিশু-কিশোরদের জন্য ভিন্ন ধরনের মোট ছয়টি ছোটগল্প রয়েছে। এসব হলো- পড়াগুলো হারিয়ে যায় বইয়ের পাতার ভাঁজে ভাঁজে, পিকলুর অ্যাকুরিয়াম, ভয়ংকর ভয়, ঝুমা কাজল ও মিনির গল্প, ভূত গবেষণা ইনস্টিটিউট এবং মোটকু মামার অভিযানে বিল্টুর বন্ধুরা।  ‘মোটকু মামার অভিযানে বিল্টুর বন্ধুরা’ লেখকের প্রথম গল্পগ্রন্থ। বইটির মূল্য রাখা হয়েছে ১৩৫ টাকা। পাওয়া যাচ্ছে মেলায় সাহস পাবলিকেশন্সের ৩৭৫ নম্বর স্টলে।  ‘মোটকু মামার অভিযানে বিল্টুর বন্ধুরা’ বইটি ছাড়াও মেলায় পাওয়া যাচ্ছে লেখকের আরও তিনটি বই। এগুলো হলো শিশুতোষ রচনা ‘তোমার সঙ্গে আড়ি’, কিশোর উপন্যাস ‘আমাদের ক্লাস ক্যাপটেন’ ও ছড়া-কবিতার ‘এক তালি ভাই বল্টু’। বইগুলো যথাক্রমে ২০১৫, ২০১৩ ও ২০১২ সালের বইমেলায় প্রকাশিত হয়। এর মধ্যে ২০১৩ সালে প্রকাশিত লেখকের ‘আমাদের ক্লাস ক্যাপটেন’ বইটি ব্যাপক সাড়া জাগায় এবং মেলায় প্রথম সংস্করণ শেষ হয়ে যায়। এখন এর দ্বিতীয় সংস্করণ পাওয়া যাচ্ছে।","['Entertainment', 'Culture', 'Education']",Straight
22,"কালীগঞ্জে বিয়ের প্রস্তাব প্রত্যাখ্যান করায় মারধরের শিকার জেসমিন আক্তার রিপা (২৩) বিষপানের পাঁচ মাস পর শনিবার চিকিত্সাধীন অবস্থায় মারা গেছেন। রিপা উপজেলার মোক্তারপুর ইউনিয়নের বড়গাঁও গ্রামের মো. রফিকুল ইসলামের মেয়ে। নিহতের খালা রুনা বেগম জানান, রিপার বাবা একজন দিনমজুর। দুই মেয়ে এক ছেলের মধ্যে রিপা মেজো। দীর্ঘদিন ঐ এলাকার সন্ত্রাসী বিল্লাল ফরাজী বিয়ের জন্য রিপাকে উত্ত্যক্ত করছিল। ২০১৯ সালের ১৪ আগস্ট রিপার অন্যত্র বিয়ে ঠিক হয়। বিয়ের খবর জানতে পেরে বিল্লাল ফরাজী ১০ আগস্ট রিপাকে বিয়ের প্রস্তাব দেয়। তার প্রস্তাব প্রত্যাখ্যান করলে বিল্লাল ফরাজী রিপাকে বেধড়ক মারধর করে। রিপা বিষয়টি তার বাবা-মাকে জানায়। পরিবারের লোকজন ঘটনাটি স্থানীয় মেম্বার ও বিল্লালের চাচা হেকিম ফরাজী মেম্বারকে জানালে বিল্লাল আরো ক্ষিপ্ত হয়ে ওঠে। বিল্লাল ফরাজী রাতে জেসমিনের মায়ের মোবাইলে ফোন দিয়ে অশ্লীল কথাবার্তা এবং হত্যাসহ বিভিন্ন ভয়ভীতি দেখায়। তার মা লাউড স্পিকারের মোবাইলে কথা বলায় জেসমিন সব শুনতে পায়। অপমান সইতে না পেরে সে ঘরে গিয়ে লিচু গাছে দেওয়ার জন্য এনে রাখা বিষ পান করে। ঢামেকে দেড় মাস চিকিত্সা শেষে আর্থিক সংকটে পড়ে প্রায় দুই মাস আগে তাকে বাড়িতে নিয়ে আসে। বাড়িতে তাকে কৃত্রিমভাবে খাবার দিয়ে চিকিত্সা করানো হতো। নিহত রিপার মা নুরজাহান আক্তার জানান, রিপার চার বছর আগে কাপাসিয়া এলাকার এক প্রবাসীর সঙ্গে বিয়ে হয়। বিয়ের আট মাসের মাথায় তাদের সংসার ভেঙে যায়। রিপা তার মেয়ে নুহাকে নিয়ে বাপের বাড়ি কালীগঞ্জে বসবাস করেন। রিপাকে মারধরের পর স্থানীয়দের কাছে বিচার না পেয়ে তিনি বাদী হয়ে গত বছর ১৭ সেপ্টেম্বর বিল্লাল ফরাজী তার চাচা হেকিম ফরাজী মেম্বারসহ সাত জনকে আসামি করে কালীগঞ্জ থানায় মামলা করেন। মামলার পর সন্ত্রাসী বিল্লাল ফরাজী দেশ ত্যাগ করে। অন্যরা উচ্চ আদালত থেকে জামিন নিয়ে বেরিয়ে এসে রিপার পরিবারকে অব্যাহতভাবে হুমকি প্রদান করছে। স্থানীয় মেম্বার আব্দুল হেকিম ফরাজী বলেন, বিল্লাল ফরাজী খারাপ প্রকৃতির লোক। জেসমিন তার বিয়ের প্রস্তাব প্রত্যাখ্যান করায় বিল্লাল তাকে মারধর করে। পরে সে ঐ পরিবারকে ভয়ভীতি দেখালে জেসমিন বিষপান করে।উল্লেখ্য, ৩১ জুলাই বিল্লাল ফরাজী পঞ্চম শ্রেণির এক শিক্ষার্থীকে ধর্ষণের চেষ্টা করে। বিষয়টি বিল্লালের পরিবারকে জানালে নির্যাতনের শিকার ঐ শিক্ষার্থীর মা-বাবাকে সে মারধর করার অভিযোগও রয়েছে। বিল্লাল ফরাজী প্রভাবশালী হওয়ায় ভয়ে তার বিরুদ্ধে কেউ মুখ খুলে না। এছাড়া বড়গাঁও এলাকার আলোচিত যুবলীগ কর্মী মামুন হত্যা মামলার এজাহারভুক্ত আসামি তিনি।","['Crime', 'Discourse']",Investigative
23,"<p>রাজধানীর হাজারীবাগ থেকে চামড়াশিল্প সরিয়ে নেওয়ার সিদ্ধান্তের পেছনে সবচেয়ে বড় যে তাগিদ ছিল, তা বুড়িগঙ্গা নদীকে ওই শিল্পের দূষণ থেকে নিষ্কৃতি দেওয়া এবং হাজারীবাগ ও তার আশপাশের এলাকায় যে বিপুল জনগোষ্ঠীর বসবাস, তাদের দূষণজনিত স্বাস্থ্যঝুঁকি দূর করা। এখন দেখা যাচ্ছে, এই শিল্প স্থানান্তরের সঙ্গে সঙ্গে দূষণও স্থানান্তরিত হচ্ছে। সংবাদমাধ্যমে একাধিকবার খবর বেরিয়েছে, সাভারের হেমায়েতপুর এলাকায় যে নতুন চামড়াশিল্পপল্লি গড়ে তোলা হচ্ছে, সেটি পার্শ্ববর্তী ধলেশ্বরী নদীর জন্য একই বিপদ সৃষ্টি করেছে। কারণ, সেখানে বর্জ্য ব্যবস্থাপনা বস্তুত কিছু নেই। চামড়া প্রক্রিয়াকরণের ফলে উৎপন্ন বর্জ্য পরিশোধন না করেই আশপাশের নালা-ডোবা ও নদীর ধারে ফেলা হচ্ছে। ডাম্পিং ইয়ার্ড উপচে বর্জ্য গিয়ে পড়ছে ধলেশ্বরী নদীতে; ইতিমধ্যে ধলেশ্বরীর তীরে তিনটি বড় নালার সৃষ্টি হয়েছে। পশুচামড়ার ঝিল্লি পচে উৎকট দুর্গন্ধ বাতাসে ছড়িয়ে পড়ছে। ধলেশ্বরী নদীর দূষণের ফলে মাছ মরে ভেসে ওঠার খবরও পাওয়া যাচ্ছে।</p>","['Discourse', 'Environment']",Commentary
24,"<p class=""TEXT"">সাভারের হেমায়েতপুর এলাকার প্রাকৃতিক পরিবেশে এই বিপর্যয় সৃষ্টি হয়েছে হাজারীবাগ থেকে সব চামড়া কারখানা সেখানে স্থানান্তরিত হওয়ার আগেই। ২০০৩ সালে হাজারীবাগ থেকে হেমায়েতপুরে চামড়াশিল্প স্থানান্তরের সিদ্ধান্ত নেওয়ার পর থেকে গত দেড় দশকে সেখানে শতাধিক কারখানা স্থানান্তর করা হয়েছে। এই সময়ের মধ্যে কারখানা স্থানান্তরের জন্য তাগিদ দেওয়া হয়েছে ১১ বার। তারপরও সব কারখানা সেখানে স্থানান্তর করা হয়নি। অর্থাৎ চামড়াশিল্পের দূষণ থেকে হাজারীবাগ ও বুড়িগঙ্গা নদী তো মুক্তি পায়ইনি, উপরন্তু সাভারের হেমায়েতপুর ও ধলেশ্বরী পড়েছে নতুন দূষণের কবলে।</p>","['Science & Environment', 'Government actions']",Commentary
25,"<p class=""TEXT"">হেমায়েতপুরে নতুন চামড়াশিল্পপল্লি গড়ে তোলার পরিকল্পনায় বর্জ্য পরিশোষণ ও নিষ্কাশনের যে শর্তগুলো রয়েছে, সেগুলো মানা হচ্ছে না। কারখানাগুলোর নিজ নিজ অপরিশোধিত বর্জ্য স্ক্রিনিং ও কেন্দ্রীয় বর্জ্য শোধনাগারে সেগুলো পরিশোধন ও নিষ্কাশনের ব্যবস্থা এখনো গড়ে তোলা হয়নি। কঠিন ও তরল বর্জ্য পৃথক্‌করণের কারিগরি ব্যবস্থা নেই। চামড়া প্রক্রিয়াকরণ শিল্পে প্রাকৃতিক পরিবেশের জন্য অতিমাত্রায় ক্ষতিকর বর্জ্য উৎপন্ন হয়; সেগুলো যথাযথভাবে পরিশোধন ও নিষ্কাশন নিশ্চিত করা না হলে আশপাশের পরিবেশে বিপর্যয় নেমে আসতে পারে।</p>","['Science & Environment', 'Government actions', 'Business & Economy']",Commentary
26,"<p class=""TEXT"">হেয়ায়েতপুরের চামড়াশিল্পপল্লিতে কেন্দ্রীয় বর্জ্য শোধনাগার (সিইটিপি) চালু না করার ফলে শুধু যে প্রাকৃতিক পরিবেশের ক্ষতি বাড়ছে, তা নয়, খোদ চামড়াশিল্পের ওপরও এর নেতিবাচক প্রভাব পড়ছে। বাংলাদেশ থেকে চামড়াজাত পণ্যের রপ্তানি কমে যাচ্ছে। এশিয়া ফাউন্ডেশন ও পলিসি ইন্টিগ্রেশন ফর ডেভেলপমেন্টের (র‍্যাপিড) এক সমীক্ষায় বলা হয়েছে, ২০১৬-১৭ অর্থবছরে চামড়া খাতের রপ্তানি আয় ছিল ১২৩ কোটি ৪০ লাখ মার্কিন ডলার। পরের বছর তা কমে ১০৮ কোটি ৫০ লাখ ডলারে নেমে আসে। আর চলতি অর্থবছরের প্রথম ৯ মাসে রপ্তানি আয় হয়েছে মাত্র ৭৭ কোটি ডলার।</p>","['Business & Economy', 'Government actions', 'Health', 'Discourse']",Commentary
27,"<p class=""TEXT"">আমাদের চামড়াজাত পণ্যের রপ্তানি এভাবে কমে যাওয়ার প্রধান কারণ, এই খাত যথেষ্ট কমপ্লায়েন্স অর্জন করতে পারেনি। কমপ্লায়েন্স সমস্যার কারণে আমাদের চামড়াশিল্প লেদার ওয়ার্কিং গ্রুপ নামের বৈশ্বিক সংগঠনের মানসনদ অর্জন করতে পারেনি। এর অন্যতম বড় কারণ চামড়াশিল্পপল্লির সিইটিপি কার্যকর নয়। সম্প্রতি এক সেমিনারে শিল্পপতি সৈয়দ মঞ্জুর এলাহী মন্তব্য করেছেন, ‘আমাদের চামড়া খাতের জন্য প্রথম কাজ হওয়া উচিত সিইটিপি কার্যকর করা।’ শুধু চামড়াজাত পণ্যের রপ্তানি কমে যাওয়া ঠেকানোর জন্য নয়, ধলেশ্বরী নদীসহ আশপাশের প্রাকৃতিক পরিবেশের দূষণ এড়ানোর প্রয়োজনে চামড়াশিল্পের বর্জ্য পরিশোধনের কেন্দ্রীয় ব্যবস্থাটি কার্যকর করা একান্ত জরুরি। এ ব্যাপারে আর কালক্ষেপণের সুযোগ নেই।</p>","['Business & Economy', 'Science & Environment']",Commentary
28,"মুন্সীগঞ্জ টঙ্গীবাড়ী উপজেলার কাঠাদিয়া শিমুলিয়া ইউনিয়ন ভূমি কার্যালয়ের সহকারী কর্মকর্তা মো. শাহ আলম (৫৭) করোনাভাইরাসে আক্রান্ত হয়ে মারা গেছেন।শুক্রবার ভোরে ঢাকা মেডিকেল কলেজ হাসপাতালে চিকিৎসাধীন অবস্থায় তিনি মারা যান।শাহ আলম মুন্সীগঞ্জ সদর উপজেলার দেওভোগ মাদবর বাড়ির মৃত আবদুর রহমানের ছেলে। মৃত্যুকালে তিনি স্ত্রী, এক পুত্র ও দুই কন্যা সন্তানসহ অসংখ্য গুণগ্রাহী রেখে গেছেন।গত ১৫ দিন আগে শরীরে জ্বর, গলাব্যথা ও কাশি দেখা দিলে করোনা পরীক্ষা করেন। পরীক্ষায় তার শরীরে করোনা পজিটিভ ধরা পরে। সেই থেকে তিনি চিকিৎসাধীন ছিলেন।তার মৃত্যুতে উপজেলা পরিষদের চেয়ারম্যান জগলুল হালদার ভুতু, উপজেলা নির্বাহী কর্মকর্তা মোসাম্মৎ হাসিনা আক্তার, উপজেলা সহকারী কমিশনার ভূমি উছেন মে গভীর শোক প্রকাশ করেন।",['Health'],Straight
29,মানবতাবিরোধী অপরাধে ফাঁসির দণ্ডপ্রাপ্ত জামায়াত নেতা কামারুজ্জামানকে শেরপুরের বাজিতখিলা এলাকার নিজগ্রামে প্রতিষ্ঠিত এতিমখানার পাশে দাফন করা হবে।গত বুধবার বিকালে বাজিতখিলা মুদিপাড়া এলাকায় এতিমখানার পশ্চিম পাশে একটি ধানক্ষেতের কাঁচা ধানগাছ কেটে সেখানে ট্রাকে করে মাটি ফেলে ভরাট করা হয়েছে।কামারুজ্জামানের ছোট ভাই মো. কফিল উদ্দিন ও পরিবারের লোকজন সেখানে উপস্থিত থেকে কবরস্থান তৈরি করার কাজ তদারক করেন।কামারজ্জামানের ইচ্ছা ছিল মৃত্যুর পর লাশ তার প্রতিষ্ঠিত এতিমখানার পাশে যেন দাফন করা হয়। ইচ্ছা অনুযায়ী লাশ দাফনের জন্য পারিবারিকভাবে প্রস্তুতি নেয়া হয়েছে।,"['Crime', 'Discourse']",Straight
30,"<p>তারাশঙ্কর বন্দ্যোপাধ্যায়ের উপন্যাস কবি অবলম্বনে অরিন্দম নাট্য সমপ্রদায়ের ২৯তম নতুন প্রযোজনা কবি নাটকটির প্রদর্শনী হবে ৭ ডিসেম্বর, শুক্রবার সন্ধ্যা সাড়ে ছয়টায় চট্টগ্রাম শিল্পকলা একাডেমী মিলনায়তনে। নাটকের টিকিট প্রদর্শনীর আগে মিলনায়তনে পাওয়া যাবে। বিজ্ঞপ্তি।</p>","['Entertainment', 'Culture']",Straight
31,"বাংলাদেশ রফতানি প্রক্রিয়াকরণ এলাকা কর্তৃপক্ষের (বেপজা) নির্বাহী দফতরের সাবেক মহাব্যবস্থাপক (জনসংযোগ) আখতার হামিদ মনসুর (৬৮) সোমবার সকালে নিজ বাসভবনে ইন্তেকাল করেন (ইন্নালিল্লাহি ... রাজিউন)। তিনি পারকিনসন্স রোগে ভুগছিলেন। তিনি স্ত্রী ও এক কন্যা রেখে গেছেন। তাকে মিরপুর শহীদ বুদ্ধিজীবী কবরস্থানে দাফন করা হয়েছে। তিনি বিভিন্ন পত্রিকা, বাংলাদেশ বেতার ও টেলিভিশনের বার্তা বিভাগে কাজ করেছেন। শুক্রবার বাদ আসর, ২০/৭ বাবর রোড, ব্লক-বি, মোহাম্মদপুরে তার স্মরণে দোয়া মাহফিল অনুষ্ঠিত হবে। সংবাদ বিজ্ঞপ্তি। ",['Discourse'],Straight
32, টানা তিন ম্যাচ ড্রয়ের পর অবশেষে জয়ের স্বাদ পেল ম্যানচেস্টার ইউনাইটেড। রবিবার ওল্ড ট্র্যাফোর্ডে টটেনহামের বিপক্ষে ১-০ গোলের জয় পায় রেড ডেভিলসরা। হেনরিক মিখতারিয়ানের প্রথম প্রিমিয়ার লিগ গোলেই জয় নিশ্চিত হয়ে যায় ইউনাইটেডের জয়।এদিন শুরু থেকে আক্রমণ চালালেও গোলের জন্য ২৯ মিনিট পর্যন্ত অপেক্ষা করতে হয় মরিনহো শিষ্যদের।  প্রতিপক্ষের ছোট ভুলের সুযোগ কাজে লাগিয়ে এগিয়ে যায় ম্যাঞ্চেস্টার। মাঝমাঠে হ্যারি কেনের ভুল পাস ধরে এররেরা বল বাড়ান মিখিতারিয়ানকে। আর্মেনিয়ার এই অ্যাটাকিং মিডফিল্ডার ডান দিক দিয়ে ডি’বক্সে ঢুকে উঁচু কোনাকুনি শটে গোলটি করে দলকে এগিয়ে দেন।  এদিন কোনো গোল করতে না পারায় মাইলফলক স্পর্শ করা হয়নি ইংলিশ তারকা ওয়েন রুনির। আর এক গোল করলেই ম্যানইউর হয়ে ববি চার্লটনের করা ২৪৯ গোলের রেকর্ড স্পর্শ করবেন রুনি। গোল ডটকম  ইত্তেফাক/এমএইচ,['Sports'],Straight
33,<p><strong>এমার পরিবেশবান্ধব পথে অ্যানা</strong><br />পশ্চিমে পরিবেশবান্ধব পোশাকের চল তুমুলে উঠছে। কিছুদিন আগেই বিউটি অ্যান্ড দ্য বিস্ট সিনেমার লাল-সাদা গাউন নিয়ে আবার আলোচনায় এসেছিলেন এমা ওয়াটসন। কেলভিন ক্লেইনের প্লাস্টিকের বোতলে তৈরি ডেনিমে শিরোনাম হয়েছিলেন ফেরেল উইলিয়ামসও। এবার রেড কার্পেটে পরিবেশবান্ধব পোশাকে দেখা গেল আরেক হলিউড তারকা অ্যানা হাথওয়েকে। কলোজাল সিনেমার প্রচারণার জন্য রেড কার্পেটের পোশাক হিসেবে তিনি বেছে নিয়েছেন আরমানির তৈরি একটি কালো গাউন। কসমোপলিটন</p>,"['Lifestyle', 'Entertainment']",Straight
34,"<p><strong>ক্যাপ্রি আবারও</strong><br />সেই সত্তরের ক্যাপ্রি ফিরছে আবারও। তবে লম্বায় একটু বড় হয়ে। অন্তত সুপারমডেল গিগি হাদিদ এ নিয়ে বিন্দুমাত্র সংশয় রাখছেন না। শুধু তিনিই নন; অভিনেত্রী দিয়ানে ক্রুগার, সোফিয়া ভারগারাকেও দেখা গেল ক্যাপ্রি জিন্সে। ই-অনলাইন</p>","['Lifestyle', 'Entertainment']",Commentary
35,<p><strong>শহিদের প্রথম প্রচ্ছদ</strong><br />সব পত্রিকায় নয় অবশ্যই। বিয়ে নিয়ে করা কোনো ম্যাগাজিনের প্রচ্ছদে এই প্রথম এলেন বলিউডের অভিনেতা শহিদ কাপুর। হার্পারস বাজার ম্যাগাজিনের প্রচ্ছদে পোশাকের চাইতে শহিদের চুলের কোয়ার্ক স্টাইল সুনাম কুড়াচ্ছে বেশি।<br />হার্পারস বাজার</p>,['Entertainment'],Straight
36,<p><strong>গ্রন্থনা: খাদিজা ফাল্গুনী</strong></p>,['Discourse'],Straight
